created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2023-03-30T09:08:27+00:00,1,32.30,"68.00

",,,,
2023-03-30T09:08:44+00:00,2,32.60,"70.00

",,,,
2023-03-30T09:09:05+00:00,3,33.10,"69.00

",,,,
2023-03-30T09:09:25+00:00,4,33.30,"65.00

",,,,
2023-03-30T09:09:40+00:00,5,33.10,"65.00

",,,,
2023-03-30T09:10:01+00:00,6,32.90,"65.00

",,,,
2023-03-30T09:10:27+00:00,7,32.60,"65.00

",,,,
2023-03-30T09:10:45+00:00,8,32.60,"66.00

",,,,
2023-03-30T09:11:16+00:00,9,32.60,"67.00

",,,,
2023-03-30T09:11:54+00:00,10,33.10,"68.00

",,,,
2023-03-30T09:12:31+00:00,11,33.40,"67.00

",,,,
2023-03-30T09:12:52+00:00,12,33.40,"68.00

",,,,
2023-03-30T09:13:07+00:00,13,33.60,"65.00

",,,,
2023-03-30T09:13:25+00:00,14,33.20,"65.00

",,,,
2023-03-30T09:14:15+00:00,15,33.10,"74.00

",,,,
2023-03-30T09:14:41+00:00,16,33.10,"72.00

",,,,
2023-03-30T09:15:16+00:00,17,33.90,"69.00

",,,,
2023-03-30T09:15:34+00:00,18,33.90,"65.00

",,,,
2023-03-30T09:15:50+00:00,19,34.00,"63.00

",,,,
2023-03-30T09:16:08+00:00,20,33.70,"63.00

",,,,
2023-03-30T09:16:24+00:00,21,33.40,"64.00

",,,,
2023-03-30T09:16:40+00:00,22,33.10,"64.00

",,,,
2023-03-30T09:16:58+00:00,23,33.00,"65.00

",,,,
2023-03-30T09:17:14+00:00,24,32.90,"64.00

",,,,
2023-03-30T09:17:31+00:00,25,32.90,"64.00

",,,,
2023-03-30T09:17:50+00:00,26,32.70,"64.00

",,,,
2023-03-30T09:18:05+00:00,27,32.70,"65.00

",,,,
2023-03-30T09:18:21+00:00,28,32.60,"65.00

",,,,
2023-03-30T09:18:38+00:00,29,32.40,"65.00

",,,,
2023-03-30T09:18:54+00:00,30,32.40,"65.00

",,,,
2023-03-30T09:19:11+00:00,31,32.40,"65.00

",,,,
2023-03-30T09:19:27+00:00,32,32.40,"66.00

",,,,
2023-03-30T09:19:44+00:00,33,32.40,"66.00

",,,,
2023-03-30T09:20:00+00:00,34,32.40,"66.00

",,,,
2023-03-30T09:20:16+00:00,35,32.40,"66.00

",,,,
2023-03-30T09:20:32+00:00,36,32.30,"66.00

",,,,
2023-03-30T09:21:01+00:00,37,32.30,"66.00

",,,,
2023-03-30T09:21:18+00:00,38,32.30,"66.00

",,,,
2023-03-30T09:21:35+00:00,39,32.40,"66.00

",,,,
2023-03-30T09:21:51+00:00,40,32.40,"71.00

",,,,
2023-03-30T09:22:08+00:00,41,32.60,"72.00

",,,,
2023-03-30T09:22:24+00:00,42,32.90,"71.00

",,,,
2023-03-30T09:22:43+00:00,43,33.20,"68.00

",,,,
2023-03-30T09:22:59+00:00,44,33.90,"72.00

",,,,
